SUBZONE_N,PLN_AREA_N,REGION_N,Age_0to6,Age_20to29,Age_over85,HDB_AV_E,HDB_AV_2rm,HDB_AV_1rm,House_AV,Condo_AV,EC_AV,Apart_AV,e12k_Over,DP,FDW,WP,stud_lprim,stud_jcoll,VariableX,Y
TAGORE,ANG MO KIO,NORTH-EAST REGION,486,1383,139,0,0,0,236647,58817,0,95540,1298,238,1102,2557,216,128,903,2697
LORONG AH SOO,HOUGANG,NORTH-EAST REGION,1448,4609,540,201317,0,0,477307,175347,0,121158,1559,952,1919,2162,694,168,404,8673
FLORA DRIVE,PASIR RIS,EAST REGION,936,2066,152,0,0,0,128490,361239,0,126488,1678,1394,1419,747,417,151,839,9158
HILLVIEW,BUKIT BATOK,WEST REGION,1057,3029,99,0,0,0,173150,770642,0,182109,2949,1514,1986,445,456,393,603,5055
CHANGI BAY,CHANGI BAY,EAST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,461
PAYA LEBAR EAST,PAYA LEBAR,EAST REGION,0,0,0,0,0,0,0,0,0,28145,0,0,0,58,0,0,798,4500
UPPER THOMSON,BISHAN,CENTRAL REGION,1480,4252,708,144760,0,0,947138,190617,0,487390,3133,533,2977,1055,805,310,626,7676
HONG KAH NORTH,BUKIT BATOK,WEST REGION,1456,4272,116,83845,0,0,0,50414,0,27601,419,333,576,680,716,44,637,5779
TOWNSVILLE,ANG MO KIO,NORTH-EAST REGION,1427,2570,506,120784,4815,4815,0,0,0,0,542,68,987,1419,534,24,692,8172
KOVAN,HOUGANG,NORTH-EAST REGION,1453,3970,392,21963,0,0,1597729,321352,0,803171,3344,1136,2935,2394,678,282,503,9292
CHONG BOON,ANG MO KIO,NORTH-EAST REGION,1355,3335,482,275876,0,0,0,0,0,0,409,83,874,2086,543,18,522,8623
SHANGRI-LA,ANG MO KIO,NORTH-EAST REGION,716,2173,363,142742,0,0,57257,0,0,0,261,86,600,978,393,16,836,6877
SERANGOON GARDEN,SERANGOON,NORTH-EAST REGION,1627,5556,848,43939,4810,4810,2511159,21001,0,312811,3002,1155,3677,2558,747,231,251,11157
HOUGANG CENTRAL,HOUGANG,NORTH-EAST REGION,193,849,74,38430,0,0,49211,0,0,49564,217,31,313,284,98,41,748,6317
LOYANG EAST,PASIR RIS,EAST REGION,136,396,31,0,0,0,99094,0,0,55303,331,78,308,103,48,21,673,1717
